technology,dbm,rssnr,rsrp,rsrq,rssi,cqi,asu,earfcn,pci,ta,ci,tac,level,bandwidth,bands,modes,bands_description,mcc,mnc,is_connected,phone_abs_time,rel_time,time_readable,longitude,latitude,altitude,state_abrv,census_tract_geoid,census_tract_arealand,census_block_geoid,census_block_arealand,county_geoid,county_name,geo_id_cg_api,population_density,rucc,physiographic_region_area,physiographic_region_perimeter,physiographic_region_physiodd_,physiographic_region_physiodd_i,physiographic_region_fcode,physiographic_region_fencode,physiographic_region_division,physiographic_region_province,physiographic_region_section,physiographic_region_provcode,elevation
4G_LTE,-130,2147483647,-130,-17,-103,2147483647,10,66486,4,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-123,2147483647,-123,-19,-95,2147483647,17,5145,32,49,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-124,2147483647,-124,-16,-99,2147483647,16,700,402,49,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-117,2147483647,-117,-16,-85,2147483647,23,5145,201,49,92403215,33795,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-117,2147483647,-117,-16,-85,2147483647,23,5145,201,49,92403215,33795,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-123,2147483647,-123,-19,-95,2147483647,17,5145,32,49,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-124,2147483647,-124,-16,-99,2147483647,16,700,402,49,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-130,2147483647,-130,-17,-103,2147483647,10,66486,4,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-129,2147483647,-129,-17,-103,2147483647,11,66986,24,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-129,2147483647,-129,-17,-103,2147483647,11,66986,24,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190436857,4719.558297106,2024-08-20 17:47:16.857000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-129,2147483647,-129,-17,-103,2147483647,11,66986,24,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.85914834685978,36.92076833867706,559.4256923601052,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,594.4916381835938
4G_LTE,-123,2147483647,-123,-19,-95,2147483647,17,5145,32,49,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-117,2147483647,-117,-16,-85,2147483647,23,5145,201,49,92403215,33795,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-129,2147483647,-129,-17,-103,2147483647,11,66986,24,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-130,2147483647,-130,-17,-103,2147483647,10,66486,4,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-117,2147483647,-117,-16,-85,2147483647,23,5145,201,49,92403215,33795,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-123,2147483647,-123,-19,-95,2147483647,17,5145,32,49,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-124,2147483647,-124,-16,-99,2147483647,16,700,402,49,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-130,2147483647,-130,-17,-103,2147483647,10,66486,4,49,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-124,2147483647,-124,-16,-99,2147483647,16,700,402,49,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190437862,4720.564098407,2024-08-20 17:47:17.862000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-128,2147483647,-128,-18,-87,2147483647,12,700,402,46,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.85911629372498,36.92078244818589,559.4831602305368,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,594.361572265625
4G_LTE,-117,2147483647,-117,-16,-85,2147483647,23,5145,201,46,92403215,33795,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-117,2147483647,-117,-16,-85,2147483647,23,5145,201,46,92403215,33795,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-120,2147483647,-120,-18,-95,2147483647,20,5145,32,46,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-128,2147483647,-128,-18,-87,2147483647,12,700,402,46,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-135,2147483647,-135,-20,-93,2147483647,5,66486,4,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-134,2147483647,-134,-20,-105,2147483647,6,66986,24,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-135,2147483647,-135,-20,-93,2147483647,5,66486,4,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-120,2147483647,-120,-18,-95,2147483647,20,5145,32,46,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-134,2147483647,-134,-20,-105,2147483647,6,66986,24,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190438863,4721.564486688,2024-08-20 17:47:18.863000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-117,2147483647,-117,-16,-85,2147483647,23,5145,201,46,92403215,33795,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",310,410,1,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.85906717164544,36.92080407129448,559.5712309081238,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,594.1365356445312
4G_LTE,-120,2147483647,-120,-18,-95,2147483647,20,5145,32,46,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-128,2147483647,-128,-18,-87,2147483647,12,700,402,46,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-135,2147483647,-135,-20,-93,2147483647,5,66486,4,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-134,2147483647,-134,-20,-105,2147483647,6,66986,24,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-128,2147483647,-128,-18,-87,2147483647,12,700,402,46,2147483647,2147483647,0,2147483647,[2],[FDD],"Band Number = 2, Uplink = 1850.0 - 1910.0 MHz, Downlink = 1850.0 - 1910.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-134,2147483647,-134,-20,-105,2147483647,6,66986,24,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-135,2147483647,-135,-20,-93,2147483647,5,66486,4,46,2147483647,2147483647,0,2147483647,[66],[FDD],"Band Number = 66, Uplink = 1710.0 - 1780.0 MHz, Downlink = 1710.0 - 1780.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
4G_LTE,-120,2147483647,-120,-18,-95,2147483647,20,5145,32,46,2147483647,2147483647,0,2147483647,[12],[FDD],"Band Number = 12, Uplink = 698.0 - 716.0 MHz, Downlink = 699.0 - 716.0 MHz ",Unavailable,Unavailable,0,1724190439865,4722.566249709,2024-08-20 17:47:19.865000,-113.859312,36.9206963,559.132279640429,AZ,4015950101.0,12306701704.0,40159501013062.0,331555017.0,4015.0,Mohave County,40159501013062.0,0.77,3.0,49.238,34.619,145.0,153.0,221.0,22a,intermontane_plateaus,basin_and_range,great_basin,22.0,595.3370971679688
